Model,Experiment,LearningRate,WeightDecay,BatchSize,Epochs,Accuracy,F1,Recall,Precision
DistilBert,E0,3e-05,0.0,64,6,0.89,0.89,0.89,0.89
DistilBert,E0,5e-05,0.01,32,5,0.9,0.9,0.9,0.9
DistilBert,E0,3e-05,0.01,32,6,0.89,0.89,0.89,0.89
DistilBert,E0,3e-05,0.01,16,7,0.9,0.9,0.9,0.9
DistilBert,E0,3e-05,0.01,16,5,0.9,0.9,0.9,0.9
DistilBert,E0,5e-05,0.01,16,7,0.9,0.9,0.9,0.9
DistilBert,E0,3e-05,0.01,32,5,0.89,0.89,0.89,0.89
DistilBert,E0,3e-05,0.0,16,5,0.9,0.9,0.9,0.9
DistilBert,E0,5e-06,0.0,32,7,0.87,0.87,0.87,0.86
DistilBert,E0,5e-06,0.01,32,5,0.84,0.83,0.84,0.84
DistilBert,E0,5e-06,0.0,32,5,0.84,0.83,0.84,0.84
DistilBert,E0,5e-06,0.0,64,6,0.83,0.82,0.83,0.83
DistilBert,E0,3e-05,0.0,64,7,0.89,0.89,0.89,0.89
DistilBert,E0,3e-06,0.01,32,6,0.82,0.81,0.82,0.82
DistilBert,E0,5e-05,0.0,64,6,0.89,0.89,0.89,0.89
DistilBert,E0,5e-05,0.0,16,7,0.9,0.9,0.9,0.9
DistilBert,E0,3e-05,0.0,32,6,0.89,0.89,0.89,0.89
DistilBert,E0,3e-05,0.0,16,6,0.89,0.89,0.89,0.89
DistilBert,E0,3e-06,0.01,16,7,0.86,0.86,0.86,0.86
DistilBert,E0,3e-06,0.0,16,6,0.85,0.84,0.85,0.84
DistilBert,E0,5e-06,0.0,16,5,0.87,0.86,0.87,0.86
DistilBert,E0,5e-05,0.0,16,6,0.9,0.9,0.9,0.9
DistilBert,E0,5e-05,0.01,16,6,0.9,0.9,0.9,0.9
DistilBert,E0,5e-06,0.01,16,6,0.87,0.87,0.87,0.87
DistilBert,E0,5e-05,0.0,16,5,0.9,0.9,0.9,0.9
DistilBert,E0,3e-06,0.0,16,5,0.84,0.83,0.84,0.84
DistilBert,E0,3e-05,0.01,64,5,0.89,0.89,0.89,0.89
DistilBert,E0,3e-06,0.0,64,7,0.79,0.74,0.79,0.82
DistilBert,E0,3e-05,0.01,16,6,0.89,0.89,0.89,0.89
DistilBert,E0,3e-05,0.0,32,7,0.9,0.9,0.9,0.9
DistilBert,E0,5e-06,0.01,32,7,0.87,0.86,0.87,0.86
DistilBert,E0,3e-05,0.0,16,7,0.9,0.9,0.9,0.9
DistilBert,E0,3e-06,0.0,32,6,0.82,0.81,0.82,0.82
DistilBert,E0,3e-05,0.01,64,7,0.9,0.89,0.9,0.89
DistilBert,E0,3e-06,0.01,32,5,0.78,0.72,0.78,0.8
DistilBert,E0,5e-05,0.01,64,7,0.9,0.9,0.9,0.9
DistilBert,E0,3e-06,0.0,32,7,0.84,0.84,0.84,0.84
DistilBert,E0,5e-06,0.01,32,5,0.84,0.83,0.84,0.84
DistilBert,E0,3e-06,0.0,32,5,0.78,0.73,0.78,0.8
DistilBert,E0,5e-05,0.01,64,5,0.89,0.89,0.89,0.89
DistilBert,E0,5e-06,0.0,16,6,0.87,0.87,0.87,0.87
DistilBert,E0,5e-06,0.01,64,7,0.85,0.84,0.85,0.85
DistilBert,E0,5e-06,0.01,16,7,0.88,0.88,0.88,0.88
DistilBert,E0,3e-06,0.01,16,6,0.85,0.84,0.85,0.84
DistilBert,E0,5e-05,0.0,32,7,0.9,0.9,0.9,0.9
DistilBert,E0,3e-05,0.0,32,5,0.89,0.89,0.89,0.89
DistilBert,E0,3e-05,0.01,64,6,0.89,0.89,0.89,0.89
DistilBert,E0,5e-05,0.0,32,6,0.89,0.89,0.89,0.89
DistilBert,E0,5e-05,0.0,64,7,0.9,0.9,0.9,0.9
DistilBert,E0,5e-06,0.0,64,5,0.78,0.73,0.78,0.81
DistilBert,E0,3e-05,0.01,32,7,0.9,0.9,0.9,0.9
DistilBert,E0,5e-06,0.01,64,6,0.83,0.82,0.83,0.83
DistilBert,E0,5e-06,0.01,64,5,0.78,0.73,0.78,0.81
DistilBert,E0,5e-05,0.01,32,7,0.89,0.89,0.89,0.89
DistilBert,E0,5e-05,0.01,32,6,0.89,0.89,0.89,0.89
DistilBert,E0,5e-06,0.0,16,7,0.88,0.88,0.88,0.88
DistilBert,E0,5e-05,0.01,16,5,0.9,0.9,0.9,0.9
DistilBert,E0,5e-05,0.01,64,6,0.89,0.89,0.89,0.89
DistilBert,E0,5e-05,0.0,64,5,0.89,0.89,0.89,0.89
DistilBert,E0,5e-05,0.0,32,5,0.9,0.9,0.9,0.9
DistilBert,E0,3e-06,0.0,64,5,0.67,0.57,0.67,0.64
DistilBert,E0,5e-06,0.0,32,6,0.85,0.85,0.85,0.85
DistilBert,E0,3e-06,0.01,16,5,0.84,0.83,0.84,0.83
DistilBert,E0,3e-06,0.0,64,6,0.73,0.67,0.73,0.79
DistilBert,E0,5e-06,0.0,64,7,0.85,0.84,0.85,0.85
DistilBert,E0,5e-06,0.01,16,5,0.86,0.86,0.86,0.86
DistilBert,E0,3e-06,0.01,32,7,0.85,0.84,0.85,0.85
DistilBert,E0,5e-06,0.01,32,6,0.85,0.85,0.85,0.85
DistilBert,E0,3e-05,0.0,64,5,0.89,0.89,0.89,0.89
